# sn00cf.ubvri.snphot.dat
# photometry from Jha et al. 2006, AJ 131, 527
#
#  HJD         U    +/-      B    +/-      V    +/-      R    +/-      I    +/-
2451676.85  17.173 0.077  17.256 0.022  17.194 0.012  17.063 0.020  17.491 0.037
2451677.80  17.334 0.063  17.302 0.027  17.191 0.018  17.126 0.024  17.524 0.034
2451678.74  17.410 0.097  99.999 9.999  99.999 9.999  17.151 0.038  99.999 9.999
2451679.78  17.648 0.085  17.445 0.023  17.270 0.014  17.180 0.018  17.604 0.027
2451688.81  99.999 9.999  18.437 0.038  17.751 0.020  17.648 0.029  18.046 0.045
2451691.79  99.999 9.999  18.851 0.035  17.989 0.015  17.731 0.023  17.993 0.041
2451693.83  19.559 0.185  18.996 0.070  18.128 0.023  17.778 0.031  17.980 0.059
2451695.73  99.999 9.999  19.302 0.053  18.245 0.022  17.793 0.028  17.995 0.043
2451696.78  19.822 0.216  19.436 0.057  18.278 0.022  17.844 0.031  17.864 0.038
2451730.67  99.999 9.999  20.721 0.176  19.746 0.069  19.269 0.099  19.252 0.118
2451758.68  99.999 9.999  99.999 9.999  20.377 0.174  20.052 0.236  99.999 9.999
2451795.67  22.525 0.201  99.999 9.999  99.999 9.999  99.999 9.999  99.999 9.999
2451806.62  99.999 9.999  99.999 9.999  20.964 0.205  99.999 9.999  99.999 9.999
