#
# PHOTOMETRY OF SN 1995E (Riess et al. 1999, AJ 117, 707)
#
#JD-2400000     B     Berr      V     Verr      R     Rerr      I     Ierr
49772.70	16.85 0.05	16.16 0.04	15.60 0.03	15.32 0.04
49773.80	16.83 0.04	16.11 0.05	15.60 0.03	15.37 0.04
49776.70	16.85 0.05	16.09 0.03	15.59 0.04	15.46 0.04
49779.60	16.97 0.04	16.12 0.05	15.55 0.04	15.56 0.05
49780.90	17.04 0.08	16.14 0.05	15.61 0.03	15.59 0.04
49781.60	17.07 0.04	16.22 0.03	15.70 0.04	15.63 0.04
49783.70	17.27 0.04	16.25 0.04	15.81 0.02	15.76 0.04
49784.70	17.39 0.04	16.34 0.06	15.94 0.04	99.99 9.99
49787.70	17.61 0.05	16.46 0.05	16.10 0.04	15.99 0.05
49791.70	18.24 0.09	16.73 0.05	16.28 0.03	16.07 0.07
49799.60	19.01 0.07	17.16 0.05	16.42 0.03	15.82 0.05
49803.60	99.99 9.99	17.36 0.06	16.60 0.04	15.88 0.05
49805.70	19.19 0.10	17.53 0.08	99.99 9.99	99.99 9.99
49806.60	19.44 0.11	17.62 0.06	16.77 0.05	16.04 0.04
49810.80	19.54 0.20	17.84 0.07	99.99 9.99	16.34 0.05
49811.60	19.63 0.10	99.99 9.99	99.99 9.99	99.99 9.99
49812.60	19.87 0.10	17.90 0.06	17.16 0.05	16.43 0.05
49820.70	19.86 0.13	18.18 0.06	17.53 0.06	16.91 0.06
49828.70	99.99 9.99	18.41 0.08	17.69 0.05	17.27 0.10
49843.60	99.99 9.99	18.67 0.08	18.19 0.07	99.99 9.99
49850.70	99.99 9.99	18.98 0.10	18.45 0.09	18.43 0.09
49864.70	99.99 9.99	19.36 0.15	18.93 0.10	18.82 0.06
