#
# UBVRI Photometry of SN 1999by (Garnavich et al. 2004, ApJ 613, 1120)
#
#JD-2450000	U     Uerr	B     Berr	V     Verr      R     Rerr	I     Ierr
1304.67		13.96 0.02	13.95 0.02	13.64 0.02	13.49 0.02	13.40 0.02	
1305.68		13.89 0.02	13.81 0.02	13.49 0.02	13.33 0.02	13.26 0.02	
1306.67		13.84 0.02	13.74 0.02	13.37 0.02	13.20 0.02	13.14 0.02	
1307.64		13.82 0.02	13.67 0.02	13.27 0.02	13.09 0.02	13.05 0.02	
1308.63		13.84 0.02	13.66 0.02	13.21 0.02	13.02 0.02	12.99 0.02	
1309.63		13.89 0.02	13.68 0.02	13.17 0.02	12.97 0.02	12.94 0.02	
1310.73		13.99 0.02	13.72 0.02	13.14 0.02	12.94 0.02	12.91 0.02	
1311.64		14.12 0.03	13.80 0.02	13.14 0.02	12.93 0.02	12.91 0.02	
1312.70		14.30 0.03	13.92 0.02	13.17 0.02	12.95 0.02	12.90 0.02	
1313.66		14.46 0.03	14.07 0.02	13.23 0.02	12.98 0.02	12.93 0.02	
1314.65		14.67 0.03	14.24 0.02	13.31 0.02	13.03 0.02	12.95 0.02	
1315.68		14.84 0.03	14.43 0.02	13.42 0.02	13.10 0.02	12.99 0.02	
1316.65		15.06 0.04	14.61 0.02	13.52 0.02	13.17 0.02	13.01 0.02	
1318.65		15.38 0.05	14.97 0.02	13.76 0.02	13.33 0.02	13.08 0.02	
1335.69		16.50 0.07	16.21 0.03	15.08 0.03	14.65 0.03	14.19 0.03	
1338.66		16.57 0.07	16.33 0.03	15.21 0.03	14.81 0.03	14.36 0.03	
1340.66		16.63 0.07	16.40 0.03	15.29 0.03	14.93 0.03	14.48 0.03	
1342.67		16.71 0.10	16.45 0.05	15.37 0.05	15.03 0.06	14.59 0.06	
1348.66		16.68 0.15	16.60 0.08	15.59 0.06	15.35 0.09	14.91 0.09	
1350.65		16.77 0.07	16.66 0.04	15.65 0.03	15.42 0.04	15.00 0.04	
1487.97		20.67 0.30	19.72 0.05	19.62 0.05	19.61 0.05	18.80 0.05	
1521.99		99.99 9.99	20.39 0.20	20.17 0.12	20.38 0.20	19.45 0.30	
