#
# PHOTOMETRY OF SN 1994S (1999AJ....117..707R)
#
#JD-2400000     B     Berr      V     Verr      R     Rerr      I     Ierr
49513.70	14.99 0.05	15.04 0.05	14.99 0.05	15.19 0.05
49514.80	14.98 0.03	14.96 0.03	14.93 0.03	15.09 0.03
49515.70	14.86 0.03	14.93 0.03	14.96 0.03	15.20 0.03
49517.70	14.85 0.06	14.84 0.06	14.83 0.06	15.17 0.06
49519.70	14.85 0.04	14.85 0.04	14.82 0.04	15.28 0.04
49529.70	15.40 0.04	15.21 0.04	99.99 9.99	15.87 0.04
49536.60	99.99 9.99	15.65 0.06	15.88 0.06	15.88 0.06
49538.70	99.99 9.99	15.76 0.05	99.99 9.99	99.99 9.99
49541.70	16.73 0.03	15.89 0.03	15.74 0.03	15.82 0.03
49545.70	17.13 0.03	16.08 0.03	15.79 0.03	15.66 0.03
49547.70	99.99 9.99	16.19 0.06	99.99 9.99	99.99 9.99
49553.70	99.99 9.99	16.65 0.10	99.99 9.99	99.99 9.99
