# Photometry of SN 1997ef (Iwamoto et al. 2000, ApJ 534, 660)
# 
# JD-2400000    V	Verr
50780.92   	16.77   0.03
50781.96   	16.69   0.03
50782.97   	16.59   0.03
50783.82   	16.57   0.06
50786.05   	16.56   0.03
50785.04   	16.63   0.03
50785.96   	16.59   0.06
50794.82   	16.52   0.03
50795.77   	16.58   0.05
50798.78   	16.57   0.03
50809.77   	16.85   0.05
50810.80   	16.96   0.03
50813.89   	17.25   0.03
50814.66   	17.29   0.03
50824.83   	17.51   0.10
50833.85   	17.84   0.04
50836.81   	17.95   0.04
50842.76   	18.00   0.04
50866.78   	18.25   0.05
50872.67   	18.33   0.06
50893.77   	18.56   0.05
50894.73   	18.57   0.06
50935.67   	19.14   0.06
