2001ej B 52188.42804 17.915 0.041 CfA3_4SH
2001ej B 52206.47248 19.265 0.044 CfA3_4SH
2001ej B 52226.47150 19.672 0.072 CfA3_4SH
2001ej B 52227.51045 19.665 0.064 CfA3_4SH
2001ej B 52228.50909 19.737 0.064 CfA3_4SH
2001ej B 52257.42124 20.083 0.099 CfA3_4SH
2001ej B 52266.42038 19.897 0.086 CfA3_4SH
2001ej B 52267.45358 19.879 0.080 CfA3_4SH
2001ej V 52188.43124 17.184 0.026 CfA3_4SH
2001ej V 52206.47567 18.056 0.027 CfA3_4SH
2001ej V 52226.47470 18.420 0.035 CfA3_4SH
2001ej V 52228.51227 18.434 0.030 CfA3_4SH
2001ej V 52257.42443 19.056 0.074 CfA3_4SH
2001ej V 52266.42355 19.052 0.053 CfA3_4SH
2001ej V 52267.45675 18.966 0.049 CfA3_4SH
2001ej R 52188.43374 16.758 0.027 CfA3_4SH
2001ej R 52206.47819 17.514 0.028 CfA3_4SH
2001ej R 52226.47720 17.900 0.087 CfA3_4SH
2001ej R 52227.51615 17.937 0.036 CfA3_4SH
2001ej R 52228.51477 17.831 0.030 CfA3_4SH
2001ej R 52257.42693 18.463 0.051 CfA3_4SH
2001ej R 52266.42605 18.436 0.046 CfA3_4SH
2001ej R 52267.45926 18.481 0.049 CfA3_4SH
2001ej I 52188.43589 16.472 0.034 CfA3_4SH
2001ej I 52206.48001 16.919 0.033 CfA3_4SH
2001ej I 52226.47899 17.315 0.127 CfA3_4SH
2001ej I 52227.51793 17.355 0.041 CfA3_4SH
2001ej I 52228.51656 17.363 0.041 CfA3_4SH
2001ej I 52257.42875 17.941 0.057 CfA3_4SH
2001ej I 52266.42787 17.995 0.062 CfA3_4SH
2001ej I 52267.46104 17.877 0.053 CfA3_4SH
2001gd U 52320.45929 19.598 0.169 CfA3_4SH
2001gd B 52266.52417 18.666 0.029 CfA3_4SH
2001gd B 52320.46321 19.582 0.060 CfA3_4SH
2001gd V 52266.52735 17.781 0.027 CfA3_4SH
2001gd V 52320.46638 18.709 0.044 CfA3_4SH
2001gd R 52266.52983 17.147 0.020 CfA3_4SH
2001gd R 52320.46884 18.080 0.024 CfA3_4SH
2001gd I 52266.53162 16.485 0.024 CfA3_4SH
2001gd I 52320.47063 17.462 0.033 CfA3_4SH
2002ap U 52306.10689 13.667 0.097 CfA3_4SH
2002ap U 52306.12661 13.674 0.104 CfA3_4SH
2002ap U 52320.10345 14.991 0.039 CfA3_4SH
2002ap U 52343.09644 16.570 0.056 CfA3_4SH
2002ap B 52320.10666 13.849 0.025 CfA3_4SH
2002ap B 52343.09966 15.427 0.020 CfA3_4SH
2002ap B 52453.46443 16.894 0.038 CfA3_4SH
2002ap B 52468.44644 17.191 0.023 CfA3_4SH
2002ap B 52579.26427 19.072 0.059 CfA3_4SH
2002ap B 52580.36453 19.106 0.043 CfA3_4SH
2002ap V 52320.10821 12.759 0.030 CfA3_4SH
2002ap V 52343.10122 14.353 0.016 CfA3_4SH
2002ap V 52453.47336 16.466 0.032 CfA3_4SH
2002ap V 52468.44959 16.772 0.019 CfA3_4SH
