#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-01-02T16:20:13 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5687f89e0b00	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/ApJS/200/12/table6
#-nav=cat:J/ApJS/200/12&tab:{J/ApJS/200/12/table6}&key:source=J/ApJS/200/12/table6&HTTPPRM:&&-ref=VIZ5687f89e0b00&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=SN&-out=Filt&-out=MJD&-out=N&-out=sigPip&-out=sigPhot&-out=mag&-out=e_mag&-out=Per&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/200/12/table6
#-source=J/ApJS/200/12/table6
#-order=I
#-out=SN
#-out=Filt
#-out=MJD
#-out=N
#-out=sigPip
#-out=sigPhot
#-out=mag
#-out=e_mag
#-out=Per
#

#RESOURCE=yCat_22000012
#Name: J/ApJS/200/12
#Title: CfA4: light curves for 94 type Ia SNe (Hicken+, 2012)
#Table	J_ApJS_200_12_table6:
#Name: J/ApJS/200/12/table6
#Title: Standard system SN photometry
#Column	SN	(a14)	Supernova identifier	[ucd=meta.id;meta.main]
#Column	Filt	(A2)	Filter used in the observation (BUVi'r'u')	[ucd=instr.setup;obs]
#Column	MJD	(F11.5)	Modified Julian Date of observation	[ucd=time.epoch]
#Column	N	(I2)	Number of successful subtractions (1)	[ucd=meta.number]
#Column	sigPip	(F7.4)	Median pipeline-generated uncertainty (2)	[ucd=stat.error;phot.mag]
#Column	sigPhot	(F7.4)	Standard deviation of surviving photometry for that date	[ucd=stat.stdev;phot.mag]
#Column	mag	(F7.4)	Observed magnitude in Filter	[ucd=phot.mag]
#Column	e_mag	(F7.4)	Total uncertainty in mag (3)	[ucd=stat.error;phot.mag]
#Column	Per	(A3)	[one/two] Period the photometry belongs to (only for table 5) (4)	[ucd=meta.code]
SN|Filt|MJD|N|sigPip|sigPhot|mag|e_mag|Per
 | |d| |mag|mag|mag|mag|
--------------|--|-----------|--|-------|-------|-------|-------|---
2006ct        |B |53903.25177| 3| 0.0600| 0.1496|18.8889| 0.1612|
2006ct        |B |53928.18575| 2| 0.2065| 0.0375|19.8833| 0.2099|
2006ct        |V |53903.24946| 3| 0.0380| 0.0806|18.0464| 0.0891|
2006ct        |V |53928.18343| 3| 0.1630| 0.1866|19.5912| 0.2478|
2006ct        |r'|53903.24786| 2| 0.0425| 0.0750|17.6346| 0.0862|
2006ct        |r'|53907.24351| 1| 0.1530| 0.0319|17.7930| 0.1563|
2006ct        |r'|53928.18181| 2| 0.1310| 0.0983|19.1695| 0.1638|
2006ct        |i'|53903.24626| 3| 0.0530| 0.3436|18.1360| 0.3477|
2006ct        |i'|53928.18018| 3| 0.1090| 0.4143|18.9657| 0.4284|
2006ou        |B |54076.50102| 4| 0.0665| 0.0282|18.3072| 0.0723|
2006ou        |B |54102.45718| 2| 0.1170| 0.0106|18.7391| 0.1175|
2006ou        |B |54104.44421| 2| 0.1170| 0.0488|18.8582| 0.1268|
2006ou        |B |54105.49083| 4| 0.1185| 0.0333|18.7890| 0.1231|
2006ou        |B |54114.44936| 2| 0.0405| 0.0007|18.8629| 0.0405|
2006ou        |B |54128.33814| 4| 0.0780| 0.0489|18.9882| 0.0921|
2006ou        |V |54076.49801| 4| 0.0310| 0.0138|17.3646| 0.0339|
2006ou        |V |54094.47017| 3| 0.0240| 0.0252|17.8315| 0.0348|
2006ou        |V |54101.37771| 4| 0.0385| 0.0593|17.9845| 0.0707|
2006ou        |V |54102.45413| 4| 0.0425| 0.0262|18.0080| 0.0499|
2006ou        |V |54104.44120| 1| 0.0450| 0.0425|18.0217| 0.0619|
2006ou        |V |54105.48784| 4| 0.0490| 0.0449|18.0821| 0.0665|
2006ou        |V |54114.44637| 3| 0.0300| 0.0356|18.3050| 0.0466|
2006ou        |V |54128.33514| 3| 0.0590| 0.0366|18.7085| 0.0694|
2006ou        |r'|54076.49571| 3| 0.0200| 0.0081|17.0590| 0.0216|
2006ou        |r'|54094.46786| 3| 0.0200| 0.0106|17.6452| 0.0226|
2006ou        |r'|54101.37539| 2| 0.0385| 0.0035|17.9185| 0.0387|
2006ou        |r'|54102.45181| 3| 0.0340| 0.0374|17.8751| 0.0506|
2006ou        |r'|54104.43889| 1| 0.0350| 0.0393|18.0507| 0.0526|
2006ou        |r'|54105.48550| 3| 0.0380| 0.0250|18.0226| 0.0455|
2006ou        |r'|54114.44404| 3| 0.0250| 0.0115|18.3106| 0.0275|
2006ou        |r'|54128.33281| 2| 0.0480| 0.0594|18.7057| 0.0764|
2006ou        |i'|54076.49338| 3| 0.0250| 0.0278|17.3461| 0.0374|
2006ou        |i'|54094.46556| 3| 0.0330| 0.0329|18.0189| 0.0466|
2006ou        |i'|54101.37308| 3| 0.0470| 0.0193|18.3253| 0.0508|
2006ou        |i'|54102.44950| 3| 0.0450| 0.0155|18.3458| 0.0476|
2006ou        |i'|54105.48318| 3| 0.0470| 0.0388|18.3901| 0.0610|
2006ou        |i'|54114.44172| 2| 0.0430| 0.1068|18.6660| 0.1151|
2006ou        |i'|54128.33049| 3| 0.0710| 0.0312|19.1095| 0.0775|
2007A         |B |54107.11417| 3| 0.0160| 0.0231|16.1843| 0.0281|
2007A         |B |54117.13620| 3| 0.0160| 0.0217|16.0521| 0.0270|
2007A         |B |54128.11495| 1| 0.0250| 0.0224|16.9279| 0.0335|
2007A         |B |54139.10991| 3| 0.0350| 0.0737|18.0712| 0.0815|
2007A         |V |54107.11116| 2| 0.0145| 0.0092|16.0309| 0.0172|
2007A         |V |54117.13319| 2| 0.0140| 0.0014|15.7745| 0.0141|
2007A         |V |54128.11194| 2| 0.0170| 0.0255|16.3178| 0.0306|
2007A         |V |54139.10689| 2| 0.0200| 0.0304|16.9054| 0.0364|
2007A         |r'|54107.10884| 2| 0.0150| 0.0212|15.9790| 0.0260|
2007A         |r'|54117.13088| 2| 0.0140| 0.0106|15.7563| 0.0176|
2007A         |r'|54128.10963| 2| 0.0170| 0.0163|16.3922| 0.0235|
2007A         |r'|54139.10457| 2| 0.0180| 0.0445|16.5965| 0.0480|
2007A         |i'|54107.10654| 1| 0.0160| 0.0105|16.1318| 0.0191|
2007A         |i'|54117.12855| 2| 0.0170| 0.0092|16.2815| 0.0193|
2007A         |i'|54128.10733| 2| 0.0245| 0.0290|17.0069| 0.0380|
2007A         |i'|54139.10225| 1| 0.0200| 0.0156|16.7254| 0.0254|
2007aj        |B |54170.33022| 4| 0.0180| 0.0046|17.2101| 0.0186|
2007aj        |B |54172.37523| 4| 0.0175| 0.0107|17.4285| 0.0205|
2007aj        |B |54178.19348| 3| 0.0210| 0.0081|18.1087| 0.0225|
2007aj        |B |54185.28216| 1| 0.0360| 0.0944|18.9689| 0.1010|
2007aj        |B |54188.22610| 3| 0.1060| 0.0026|19.0171| 0.1060|
2007aj        |B |54192.36564| 1| 0.1230| 0.1109|19.2548| 0.1656|
2007aj        |B |54193.31268| 1| 0.1650| 0.1238|19.4817| 0.2063|
2007aj        |B |54194.34250| 1| 0.1090| 0.1249|19.4938| 0.1658|
2007aj        |B |54195.25319| 1| 0.1040| 0.1148|19.3131| 0.1549|
2007aj        |B |54196.22284| 2| 0.0580| 0.0594|19.5339| 0.0830|
2007aj        |B |54201.31093| 4| 0.0545| 0.0342|19.6999| 0.0643|
2007aj        |B |54202.18366| 4| 0.0825| 0.0677|19.8602| 0.1067|
2007aj        |B |54204.18980| 3| 0.0660| 0.0620|19.8864| 0.0905|
2007aj        |B |54208.25507| 4| 0.0820| 0.0771|19.8448| 0.1125|
2007aj        |B |54209.28271| 4| 0.0940| 0.1155|20.0647| 0.1489|
2007aj        |B |54210.25347| 4| 0.0695| 0.0805|19.9406| 0.1063|
2007aj        |B |54227.26422| 4| 0.1240| 0.0971|20.4191| 0.1575|
2007aj        |B |54232.34724| 4| 0.1415| 0.2542|20.4170| 0.2909|
2007aj        |B |54234.23271| 4| 0.1320| 0.1529|20.4801| 0.2020|
2007aj        |V |54170.32721| 4| 0.0165| 0.0132|16.8814| 0.0211|
2007aj        |V |54172.37221| 4| 0.0180| 0.0103|17.0169| 0.0207|
2007aj        |V |54176.25270| 2| 0.0315| 0.0141|17.3451| 0.0345|
2007aj        |V |54178.19048| 5| 0.0200| 0.0172|17.3545| 0.0264|
2007aj        |V |54185.27917| 5| 0.0260| 0.0414|17.7261| 0.0489|
2007aj        |V |54187.21370| 3| 0.0420| 0.0801|17.8601| 0.0904|
2007aj        |V |54188.22308| 2| 0.0380| 0.0276|18.1073| 0.0470|
2007aj        |V |54192.36263| 3| 0.0380| 0.0290|18.3100| 0.0478|
2007aj        |V |54193.30968| 3| 0.0340| 0.0461|18.3517| 0.0573|
2007aj        |V |54194.33949| 3| 0.0360| 0.0440|18.4669| 0.0569|
2007aj        |V |54195.25018| 3| 0.0410| 0.0087|18.5496| 0.0419|
2007aj        |V |54196.21984| 3| 0.0400| 0.0471|18.4815| 0.0618|
2007aj        |V |54201.30792| 4| 0.0380| 0.0248|18.7428| 0.0454|
2007aj        |V |54202.18064| 5| 0.0410| 0.0249|18.6847| 0.0480|
2007aj        |V |54204.18679| 4| 0.0335| 0.0144|18.7373| 0.0364|
2007aj        |V |54208.25205| 5| 0.0470| 0.0514|18.9512| 0.0696|
2007aj        |V |54209.27969| 5| 0.0460| 0.0511|18.9767| 0.0687|
2007aj        |V |54210.25046| 4| 0.0420| 0.0272|18.8942| 0.0500|
2007aj        |V |54221.25227| 2| 0.0800| 0.0028|19.3022| 0.0800|
2007aj        |V |54227.26120| 5| 0.0520| 0.0357|19.2764| 0.0631|
2007aj        |V |54232.34423| 5| 0.0580| 0.0574|19.2775| 0.0816|
2007aj        |V |54234.22901| 5| 0.0550| 0.0555|19.4111| 0.0782|
2007aj        |V |54239.32066| 4| 0.0640| 0.0608|19.4998| 0.0883|
2007aj        |V |54240.33759| 5| 0.0650| 0.0797|19.5949| 0.1029|
2007aj        |V |54247.28039| 5| 0.1120| 0.0758|19.7323| 0.1352|
2007aj        |V |54251.33807| 3| 0.1040| 0.0871|20.2404| 0.1357|
2007aj        |V |54252.30069| 2| 0.1465| 0.0007|20.0529| 0.1465|
2007aj        |V |54277.29263| 3| 0.2960| 0.0630|20.3232| 0.3026|
2007aj        |V |54279.19292| 4| 0.2490| 0.1096|20.5006| 0.2721|
2007aj        |V |54292.22574| 4| 0.2610| 0.1879|21.1473| 0.3216|
2007aj        |r'|54170.32490| 5| 0.0160| 0.0065|17.0002| 0.0173|
2007aj        |r'|54172.36991| 5| 0.0170| 0.0085|17.1400| 0.0190|
2007aj        |r'|54176.25039| 4| 0.0250| 0.0104|17.3385| 0.0271|
2007aj        |r'|54178.18816| 5| 0.0200| 0.0086|17.3517| 0.0218|
2007aj        |r'|54185.27686| 5| 0.0200| 0.0023|17.5192| 0.0201|
2007aj        |r'|54187.21139| 1| 0.0300| 0.0288|17.6252| 0.0416|
2007aj        |r'|54188.22075| 5| 0.0260| 0.0469|17.6622| 0.0536|
2007aj        |r'|54192.36032| 5| 0.0250| 0.0080|17.9291| 0.0262|
2007aj        |r'|54193.30736| 5| 0.0270| 0.0165|17.9642| 0.0316|
2007aj        |r'|54194.33719| 5| 0.0260| 0.0137|18.0326| 0.0294|
2007aj        |r'|54195.24786| 5| 0.0280| 0.0093|18.1472| 0.0295|
2007aj        |r'|54196.21751| 5| 0.0380| 0.0329|18.1895| 0.0503|
2007aj        |r'|54201.30561| 5| 0.0270| 0.0140|18.4124| 0.0304|
2007aj        |r'|54202.17835| 5| 0.0320| 0.0047|18.4226| 0.0323|
2007aj        |r'|54204.18447| 4| 0.0285| 0.0139|18.4911| 0.0317|
2007aj        |r'|54208.24975| 5| 0.0340| 0.0105|18.6976| 0.0356|
2007aj        |r'|54209.27736| 5| 0.0370| 0.0169|18.7202| 0.0407|
2007aj        |r'|54210.24812| 5| 0.0330| 0.0215|18.7402| 0.0394|
2007aj        |r'|54221.24994| 5| 0.0600| 0.0497|19.1019| 0.0779|
2007aj        |r'|54227.25888| 5| 0.0520| 0.0441|19.2352| 0.0682|
2007aj        |r'|54232.34191| 5| 0.0660| 0.0416|19.4254| 0.0780|
2007aj        |r'|54234.22600| 5| 0.0570| 0.0464|19.4645| 0.0735|
2007aj        |r'|54239.31764| 5| 0.0680| 0.0452|19.6327| 0.0816|
2007aj        |r'|54240.33456| 5| 0.0730| 0.0455|19.6295| 0.0860|
2007aj        |r'|54247.27737| 5| 0.1030| 0.0329|19.8849| 0.1081|
2007aj        |r'|54251.33506| 5| 0.1440| 0.0916|20.1787| 0.1707|
2007aj        |r'|54277.28961| 4| 0.3065| 0.1094|20.9334| 0.3255|
2007aj        |r'|54279.18990| 4| 0.1560| 0.0500|20.5067| 0.1638|
2007aj        |r'|54291.22201| 3| 0.2300| 0.0286|20.8312| 0.2318|
